cik,name,alias,alias_clean,alias_source
0000001750,AAR CORP,ALLEN AIRCRAFT RADIO INC,allen aircraft radio,input_alias
0000001961,WORLDS INC,WORLDS COM INC,worlds com,input_alias
0000001961,WORLDS INC,"Worlds.com, Inc.",worldscom,input_alias
0000002098,ACME UNITED CORP,ACME SHEAR CO,acme shear,input_alias
0000002186,BK Technologies Corp,ADAGE INC,adage,input_alias
0000002186,BK Technologies Corp,RELM WIRELESS CORP,relm wireless,input_alias
0000002969,"Air Products & Chemicals, Inc.",AIR PRODUCTS & CHEMICALS INC /DE/,air products chemicals inc de,input_alias
0000003146,SPIRE ALABAMA INC,ALABAMA GAS CORP,alabama gas,input_alias
0000003197,CECO ENVIRONMENTAL CORP,ALARM PRODUCTS INTERNATIONAL INC,alarm products international,input_alias
0000003197,CECO ENVIRONMENTAL CORP,API ENTERPRISES INC,api enterprises,input_alias
0000003453,"Matson, Inc.",ALEXANDER & BALDWIN INC,alexander baldwin,input_alias
0000003545,"ALICO, INC.",ALICO LAND DEVELOPMENT CO,alico land development,input_alias
0000003570,"Cheniere Energy, Inc.",ALL AMERICAN GROUP OF DELAWARE INC,all american group of delaware,input_alias
0000003570,"Cheniere Energy, Inc.",BEXY COMMUNICATIONS INC,bexy communications,input_alias
0000004127,"SKYWORKS SOLUTIONS, INC.",ALPHA INDUSTRIES INC,alpha industries,input_alias
0000004281,Howmet Aerospace Inc.,ALCOA INC,alcoa,input_alias
0000004281,Howmet Aerospace Inc.,ALCOA INC.,alcoa,input_alias
0000004281,Howmet Aerospace Inc.,Arconic Inc.,arconic,input_alias
0000004447,HESS CORP,AMERADA HESS CORP,amerada hess,input_alias
0000004447,HESS CORP,AMERADA PETROLEUM CORP,amerada petroleum,input_alias
0000004457,U-Haul Holding Co /NV/,AMERCO,amerco,input_alias
0000004457,U-Haul Holding Co /NV/,AMERCO /NV/,amerco nv,input_alias
0000004515,"AMERICAN AIRLINES, INC.",AMERICAN AIRWAYS INC,american airways,input_alias
0000004904,AMERICAN ELECTRIC POWER CO INC,KINGSPORT UTILITIES INC,kingsport utilities,input_alias
0000004977,AFLAC INC,AMERICAN FAMILY CORP,american family,input_alias
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL ENTERPRISES INC,american international enterprises,input_alias
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL GROUP INC,american international,input_alias
0000005513,Unum Group,PROVIDENT COMPANIES INC /DE/,provident companies inc de,input_alias
0000005513,Unum Group,PROVIDENT LIFE & ACCIDENT INSURANCE CO OF AMERICA,provident life accident insurance co of america,input_alias
0000005513,Unum Group,UNUMPROVIDENT CORP,unumprovident,input_alias
0000005981,AMERICAN VANGUARD CORP,AEROCON INC,aerocon,input_alias
0000006176,AMPCO PITTSBURGH CORP,SCREW & BOLT CORP OF AMERICA,screw bolt corp of america,input_alias
0000006201,American Airlines Group Inc.,AMR CORP,amr,input_alias
0000006207,AMREP CORP.,AMERICAN REALTY & PETROLEUM CORP,american realty petroleum,input_alias
0000006845,"APOGEE ENTERPRISES, INC.",HARMON GLASS CO INC,harmon glass,input_alias
0000006951,APPLIED MATERIALS INC /DE,APPLIED MATERIALS TECHNOLOGY INC,applied materials technology,input_alias
0000006955,ENERPAC TOOL GROUP CORP,ACTUANT CORP,actuant,input_alias
0000006955,ENERPAC TOOL GROUP CORP,APPLIED POWER INC,applied power,input_alias
0000006955,ENERPAC TOOL GROUP CORP,APPLIED POWER INDUSTRIES INC,applied power industries,input_alias
0000007084,Archer-Daniels-Midland Co,ARCHER DANIELS MIDLAND CO,archer daniels midland,input_alias
0000007323,"ENTERGY ARKANSAS, LLC",ARKANSAS POWER & LIGHT CO,arkansas power light,input_alias
0000007431,ARMSTRONG WORLD INDUSTRIES INC,ARMSTRONG CORK CO,armstrong cork,input_alias
0000007789,ASSOCIATED BANC-CORP,ASSOCIATED BANK SERVICES INC,associated bank services,input_alias
0000008063,ASTRONICS CORP,ASTRONICS LUMINESCENT INC,astronics luminescent,input_alias
0000008146,"AstroNova, Inc.",ASTRO MED INC /NEW/,astro med inc new,input_alias
0000008146,"AstroNova, Inc.",ATLAN TOL INDUSTRIES INC,atlan tol industries,input_alias
0000008504,AgEagle Aerial Systems Inc.,AURORA CORP,aurora,input_alias
0000008504,AgEagle Aerial Systems Inc.,"EnerJex Resources, Inc.",enerjex resources,input_alias
0000008504,AgEagle Aerial Systems Inc.,MILLENNIUM PLASTICS CORP,millennium plastics,input_alias
0000008818,Avery Dennison Corp,AVERY INTERNATIONAL CORP,avery international,input_alias
0000008818,Avery Dennison Corp,AVERY PRODUCTS CORP,avery products,input_alias
0000008947,AZZ INC,AZTEC MANUFACTURING CO,aztec manufacturing,input_alias
0000009092,BADGER METER INC,BADGER METER MANUFACTURING CO,badger meter manufacturing,input_alias
0000009389,BALL Corp,BALL BROTHERS CO,ball brothers,input_alias
0000010048,BARNWELL INDUSTRIES INC,BARNWELL OFFSHORE INC,barnwell offshore,input_alias
0000010048,BARNWELL INDUSTRIES INC,BMA CORP/TN,bma corptn,input_alias
0000010456,BAXTER INTERNATIONAL INC,BAXTER LABORATORIES INC,baxter laboratories,input_alias
0000010456,BAXTER INTERNATIONAL INC,BAXTER TRAVENOL LABORATORIES INC,baxter travenol laboratories,input_alias
0000012040,FLANIGANS ENTERPRISES INC,BIG DADDYS LOUNGES INC,big daddys lounges,input_alias
0000012040,FLANIGANS ENTERPRISES INC,CASTLEWOOD INTERNATIONAL CORP,castlewood international,input_alias
