cik,ticker,company_name
1383756,RLYL,Dussault Apparel Inc
10329,BSET,Bassett Furniture Industries Inc
1267395,AHL,Aspen Insurance Holdings LTD
1074663,TMAX,Trans Max Technologies Inc
1432254,FCPG,First China Pharmaceutical Group Inc
351789,ELSE,Electro Sensors Inc
785186,DRTK,Duratek Inc
23778,CETH,Convergence Ethanol Inc
921051,THRD,TF Financial Corp
829750,BNK,Banknorth Group Inc
1010086,SIGA,Siga Technologies Inc
810018,TLNT,Telenetics Corp
1131062,NXZ,Nuveen Dividend Advantage Municipal Fund 2
1387983,BESN,RM Health International Inc
1128189,PKTX,Protokinetix Inc
1506307,KMI,Kinder Morgan Inc
3721,ALN,Allen Telecom Inc
1556766,ALDW,Alon USA Partners LP
818813,BITS,Bitstream Inc
949039,DO,Diamond Offshore Drilling Inc
1345968,EBHI,Eddie Bauer Holdings Inc
1264755,NAL,Newalliance Bancshares Inc
1017137,PPID,Prescient Applied Intelligence Inc
753281,AII,American Insured Mortgage Investors Series 85 LP
1137048,ORH,Odyssey Re Holdings Corp
1335293,CYLU,Cyalume Technologies Holdings Inc
1169264,SVR,Syniverse Holdings Inc
1265419,RTU,Cohen & Steers REIT & Utility Income Fund Inc
1073967,SRNA,Serena Software Inc
1071991,NXTI,Next Inc
856200,KGHI,Kaiser Group Holdings Inc
787250,DPL,DPL Inc
357020,LTXX,Ltx-credence Corp
1383637,PIVN,Phoenix International Ventures Inc
1161461,FEMO,Actis Global Ventures Inc
1476264,WFBI,Washingtonfirst Bankshares Inc
1429896,ACAR,Activecare Inc
98752,TTLO,Torotel Inc
1064796,WCC,Wesco Distribution Inc
1057327,CMCA,Monkey Rock Group Inc
869570,SPSS,SPSS Inc
1060009,KND,Kindred Healthcare Inc
910406,HAIN,Hain Celestial Group Inc
1556336,FEI,First Trust MLP & Energy Income Fund
774569,CLDB,Cortland Bancorp Inc
1112985,DLTZ,Delta Mutual Inc
1127572,TXHE,Texhoma Energy Inc
1021113,GTRC,Guitar Center Inc
1576169,BNFT,Benefitfocusinc
12208,BIO,Bio Rad Laboratories Inc
