cik,years_present,years_present_count,year_2016_present,year_2017_present,year_2018_present,year_2019_present,year_2020_present,year_2021_present,year_2022_present,year_2023_present,year_2024_present,year_2025_present
0000001750,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000002098,"2020,2021,2022",3,False,False,False,False,True,True,True,False,False,False
0000002186,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000002488,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",10,True,True,True,True,True,True,True,True,True,True
0000002969,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000003146,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000003153,2025,1,False,False,False,False,False,False,False,False,False,True
0000003197,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000003453,2025,1,False,False,False,False,False,False,False,False,False,True
0000003499,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000003545,"2023,2024",2,False,False,False,False,False,False,False,True,True,False
0000004127,"2018,2019,2020,2023,2024,2025",6,False,False,True,True,True,False,False,True,True,True
0000004281,2025,1,False,False,False,False,False,False,False,False,False,True
0000004447,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000004457,2025,1,False,False,False,False,False,False,False,False,False,True
0000004515,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000004904,2025,1,False,False,False,False,False,False,False,False,False,True
0000004962,"2019,2020,2021,2022,2023,2024,2025",7,False,False,False,True,True,True,True,True,True,True
0000004977,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000005272,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0000005513,"2021,2024,2025",3,False,False,False,False,False,True,False,False,True,True
0000005981,2025,1,False,False,False,False,False,False,False,False,False,True
0000006201,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000006281,"2018,2022,2023,2024,2025",5,False,False,True,False,False,False,True,True,True,True
0000006494,"2016,2017,2018,2019,2020,2021,2022,2023",8,True,True,True,True,True,True,True,True,False,False
0000006732,2016,1,True,False,False,False,False,False,False,False,False,False
0000006879,2025,1,False,False,False,False,False,False,False,False,False,True
0000006951,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,False,True,True,True,True,True,True,True,True,True
0000006955,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000007084,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000007286,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000007323,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000007431,"2018,2025",2,False,False,True,False,False,False,False,False,False,True
0000007536,2025,1,False,False,False,False,False,False,False,False,False,True
0000007789,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000008063,2025,1,False,False,False,False,False,False,False,False,False,True
0000008192,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000008504,"2019,2020,2021,2022,2023,2024,2025",7,False,False,False,True,True,True,True,True,True,True
0000008670,"2019,2020,2021,2022,2023,2024,2025",7,False,False,False,True,True,True,True,True,True,True
0000008818,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000008858,"2019,2023,2024,2025",4,False,False,False,True,False,False,False,True,True,True
0000008868,"2016,2017,2018,2019",4,True,True,True,True,False,False,False,False,False,False
0000009092,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000009326,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000009466,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000010456,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000010795,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000011544,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000012208,2025,1,False,False,False,False,False,False,False,False,False,True
0000012239,2025,1,False,False,False,False,False,False,False,False,False,True
0000012659,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0000012927,"2019,2020,2024,2025",4,False,False,False,True,True,False,False,False,True,True
0000013372,2022,1,False,False,False,False,False,False,True,False,False,False
0000014272,2025,1,False,False,False,False,False,False,False,False,False,True
0000014693,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000014930,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000015615,"2019,2020,2021,2022,2023,2024,2025",7,False,False,False,True,True,True,True,True,True,True
0000016040,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000016058,"2018,2019,2020,2021,2022,2023,2024,2025",8,False,False,True,True,True,True,True,True,True,True
0000016160,"2016,2017,2018,2019,2020,2021",6,True,True,True,True,True,True,False,False,False,False
0000016732,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0000016875,"2023,2024",2,False,False,False,False,False,False,False,True,True,False
0000016918,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000017797,2025,1,False,False,False,False,False,False,False,False,False,True
0000018230,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000018349,"2019,2020,2024,2025",4,False,False,False,True,True,False,False,False,True,True
0000018498,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000018654,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0000018672,2025,1,False,False,False,False,False,False,False,False,False,True
0000018926,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0000019617,"2021,2022,2025",3,False,False,False,False,False,True,True,False,False,True
