cik,years_present,annual_filing_count,year_2021_present,year_2022_present,year_2023_present,year_2024_present,years_present_count
0000001750,"2021,2022,2023,2024",4,True,True,True,True,4
0000001800,"2021,2022,2023,2024",4,True,True,True,True,4
0000001961,"2021,2022,2023,2024",4,True,True,True,True,4
0000002098,"2021,2022,2023,2024",4,True,True,True,True,4
0000002178,"2021,2022,2023,2024",4,True,True,True,True,4
0000002186,"2021,2022,2023,2024",7,True,True,True,True,4
0000002488,"2021,2022,2023,2024",4,True,True,True,True,4
0000002969,"2021,2022,2023,2024",4,True,True,True,True,4
0000003146,"2021,2022,2023,2024",4,True,True,True,True,4
0000003153,"2021,2022,2023,2024",4,True,True,True,True,4
0000003197,"2021,2022,2023,2024",4,True,True,True,True,4
0000003453,"2021,2022,2023,2024",4,True,True,True,True,4
0000003499,"2021,2022,2023,2024",4,True,True,True,True,4
0000003545,"2021,2022,2023,2024",4,True,True,True,True,4
0000003570,"2021,2022,2023,2024",4,True,True,True,True,4
0000004127,"2021,2022,2023,2024",8,True,True,True,True,4
0000004281,"2021,2022,2023,2024",4,True,True,True,True,4
0000004447,"2021,2022,2023,2024",4,True,True,True,True,4
0000004457,"2021,2022,2023,2024",4,True,True,True,True,4
0000004515,"2021,2022,2023,2024",4,True,True,True,True,4
0000004904,"2021,2022,2023,2024",4,True,True,True,True,4
0000004962,"2021,2022,2023,2024",4,True,True,True,True,4
0000004969,2021,1,True,False,False,False,1
0000004977,"2021,2022,2023,2024",4,True,True,True,True,4
0000005272,"2021,2022,2023,2024",4,True,True,True,True,4
0000005513,"2021,2022,2023,2024",4,True,True,True,True,4
0000005981,"2021,2022,2023,2024",4,True,True,True,True,4
0000006176,"2021,2022,2023,2024",4,True,True,True,True,4
0000006201,"2021,2022,2023,2024",4,True,True,True,True,4
0000006207,"2021,2022,2023,2024",4,True,True,True,True,4
0000006281,"2021,2022,2023,2024",4,True,True,True,True,4
0000006494,"2021,2022,2023",3,True,True,True,False,3
0000006769,"2021,2022,2023,2024",4,True,True,True,True,4
0000006845,"2021,2022,2023,2024",5,True,True,True,True,4
0000006879,"2021,2022,2023,2024",4,True,True,True,True,4
0000006951,"2021,2022,2023,2024",4,True,True,True,True,4
0000006955,"2021,2022,2023,2024",4,True,True,True,True,4
0000007039,"2021,2022",3,True,True,False,False,2
0000007084,"2021,2022,2023,2024",5,True,True,True,True,4
0000007286,"2021,2022,2023,2024",4,True,True,True,True,4
0000007323,"2021,2022,2023,2024",4,True,True,True,True,4
0000007332,"2021,2022,2023,2024",5,True,True,True,True,4
0000007431,"2021,2022,2023,2024",4,True,True,True,True,4
0000007536,"2021,2022,2023,2024",4,True,True,True,True,4
0000007623,"2021,2022,2023,2024",4,True,True,True,True,4
0000007789,"2021,2022,2023,2024",4,True,True,True,True,4
0000008063,"2021,2022,2023,2024",4,True,True,True,True,4
0000008146,"2021,2022,2023,2024",4,True,True,True,True,4
0000008177,"2021,2022,2023,2024",4,True,True,True,True,4
0000008192,"2021,2022,2023,2024",4,True,True,True,True,4
0000008328,"2021,2022",2,True,True,False,False,2
0000008504,"2021,2022,2023,2024",5,True,True,True,True,4
0000008670,"2021,2022,2023,2024",4,True,True,True,True,4
0000008818,"2021,2022,2023,2024",4,True,True,True,True,4
0000008858,"2021,2022,2023,2024",4,True,True,True,True,4
0000008868,"2021,2022,2023",3,True,True,True,False,3
0000008947,"2021,2022,2023,2024",4,True,True,True,True,4
0000009092,"2021,2022,2023,2024",4,True,True,True,True,4
0000009326,"2021,2022,2023,2024",4,True,True,True,True,4
0000009346,2021,1,True,False,False,False,1
0000009389,"2021,2022,2023,2024",4,True,True,True,True,4
0000009466,"2021,2022,2023,2024",4,True,True,True,True,4
0000009631,2021,1,True,False,False,False,1
0000009984,"2021,2022,2023,2024",4,True,True,True,True,4
0000010048,"2021,2022,2023,2024",8,True,True,True,True,4
0000010254,"2021,2022,2023",4,True,True,True,False,3
0000010329,"2021,2022,2023,2024",4,True,True,True,True,4
0000010456,"2021,2022,2023,2024",4,True,True,True,True,4
0000010795,"2021,2022,2023,2024",4,True,True,True,True,4
0000011544,"2021,2022,2023,2024",4,True,True,True,True,4
0000012040,"2021,2022,2023,2024",5,True,True,True,True,4
0000012208,"2021,2022,2023,2024",4,True,True,True,True,4
0000012239,"2021,2022,2023,2024",4,True,True,True,True,4
0000012659,"2021,2022,2023,2024",4,True,True,True,True,4
0000012927,"2021,2022,2023,2024",4,True,True,True,True,4
0000013156,"2021,2022,2023,2024",7,True,True,True,True,4
0000013239,2021,1,True,False,False,False,1
0000013372,"2021,2022,2023,2024",4,True,True,True,True,4
0000014177,"2021,2022,2023,2024",5,True,True,True,True,4
0000014272,"2021,2022,2023,2024",4,True,True,True,True,4
0000014693,"2021,2022,2023,2024",4,True,True,True,True,4
0000014707,"2021,2022,2023,2024",4,True,True,True,True,4
0000014846,"2021,2022,2023,2024",5,True,True,True,True,4
0000014930,"2021,2022,2023,2024",5,True,True,True,True,4
0000015357,"2021,2022,2023,2024",4,True,True,True,True,4
0000015615,"2021,2022,2023,2024",4,True,True,True,True,4
