cik,name,alias,former_names,source_file,filing_date,submission_type,record_type
0001807166,Amesite Inc.,,Amesite Operating Co,QTR1/20250102_10-K-A_edgar_data_1807166_0001213900-25-000438.txt,20250102,10-K/A,current_name
0001807166,Amesite Inc.,Amesite Operating Co,,QTR1/20250102_10-K-A_edgar_data_1807166_0001213900-25-000438.txt,20250102,10-K/A,former_name
0001397795,"Born, Inc.",,"QUTURE INTERNATIONAL, INC.|TECHS LOANSTAR, INC.",QTR1/20250103_10-K_edgar_data_1397795_0001213900-25-000675.txt,20250103,10-K,current_name
0001397795,"Born, Inc.","QUTURE INTERNATIONAL, INC.",,QTR1/20250103_10-K_edgar_data_1397795_0001213900-25-000675.txt,20250103,10-K,former_name
0001397795,"Born, Inc.","TECHS LOANSTAR, INC.",,QTR1/20250103_10-K_edgar_data_1397795_0001213900-25-000675.txt,20250103,10-K,former_name
0001909770,KHEOBA CORP.,,,QTR1/20250103_10-K_edgar_data_1909770_0001477932-25-000026.txt,20250103,10-K,current_name
0001397795,"Born, Inc.",,"QUTURE INTERNATIONAL, INC.|TECHS LOANSTAR, INC.",QTR1/20250106_10-K_edgar_data_1397795_0001213900-25-000956.txt,20250106,10-K,current_name
0001397795,"Born, Inc.","QUTURE INTERNATIONAL, INC.",,QTR1/20250106_10-K_edgar_data_1397795_0001213900-25-000956.txt,20250106,10-K,former_name
0001397795,"Born, Inc.","TECHS LOANSTAR, INC.",,QTR1/20250106_10-K_edgar_data_1397795_0001213900-25-000956.txt,20250106,10-K,former_name
0001639327,Zhuoxun Hongtu Inc.,,"Gushen, Inc",QTR1/20250107_10-K_edgar_data_1639327_0001213900-25-001262.txt,20250107,10-K,current_name
0001639327,Zhuoxun Hongtu Inc.,"Gushen, Inc",,QTR1/20250107_10-K_edgar_data_1639327_0001213900-25-001262.txt,20250107,10-K,former_name
0001651308,"BeiGene, Ltd.",,,QTR1/20250108_10-K-A_edgar_data_1651308_0001651308-25-000005.txt,20250108,10-K/A,current_name
0001713863,"Rafael Holdings, Inc.",,,QTR1/20250108_10-K-A_edgar_data_1713863_0001213900-25-001971.txt,20250108,10-K/A,current_name
0001111741,"DYNARESOURCE, INC.",,DYNARESOURCE INC|DYNA RESOURCE INC,QTR1/20250110_10-K-A_edgar_data_1111741_0000950170-25-004098.txt,20250110,10-K/A,current_name
0001111741,"DYNARESOURCE, INC.",DYNARESOURCE INC,,QTR1/20250110_10-K-A_edgar_data_1111741_0000950170-25-004098.txt,20250110,10-K/A,former_name
0001111741,"DYNARESOURCE, INC.",DYNA RESOURCE INC,,QTR1/20250110_10-K-A_edgar_data_1111741_0000950170-25-004098.txt,20250110,10-K/A,former_name
0001435064,CEMTREX INC,,,QTR1/20250110_10-K-A_edgar_data_1435064_0001493152-25-001680.txt,20250110,10-K/A,current_name
0001703956,"Concrete Pumping Holdings, Inc.",,Industrea Acquisition Corp.,QTR1/20250110_10-K_edgar_data_1703956_0001437749-25-000800.txt,20250110,10-K,current_name
0001703956,"Concrete Pumping Holdings, Inc.",Industrea Acquisition Corp.,,QTR1/20250110_10-K_edgar_data_1703956_0001437749-25-000800.txt,20250110,10-K,former_name
0001761534,Golden Royal Development Inc.,,,QTR1/20250110_10-K_edgar_data_1761534_0001493152-25-001665.txt,20250110,10-K,current_name
0002000762,GMTech Inc.,,,QTR1/20250110_10-K_edgar_data_2000762_0001683168-25-000206.txt,20250110,10-K,current_name
0000315374,HURCO COMPANIES INC,,HURCO MANUFACTURING CO INC,QTR1/20250110_10-K_edgar_data_315374_0001558370-25-000129.txt,20250110,10-K,current_name
0000315374,HURCO COMPANIES INC,HURCO MANUFACTURING CO INC,,QTR1/20250110_10-K_edgar_data_315374_0001558370-25-000129.txt,20250110,10-K,former_name
0000715446,Anixa Biosciences Inc,,ITUS Corp|COPYTELE INC,QTR1/20250110_10-K_edgar_data_715446_0001493152-25-001787.txt,20250110,10-K,current_name
0000715446,Anixa Biosciences Inc,ITUS Corp,,QTR1/20250110_10-K_edgar_data_715446_0001493152-25-001787.txt,20250110,10-K,former_name
0000715446,Anixa Biosciences Inc,COPYTELE INC,,QTR1/20250110_10-K_edgar_data_715446_0001493152-25-001787.txt,20250110,10-K,former_name
0001445815,"BIOXYTRAN, INC",,"U.S. RARE EARTH MINERALS, INC.|U.S. RARE EARTH MINERALS, INC|U.S. Natural Nutrients & Minerals, Inc.",QTR1/20250113_10-K-A_edgar_data_1445815_0001493152-25-001889.txt,20250113,10-K/A,current_name
0001445815,"BIOXYTRAN, INC","U.S. RARE EARTH MINERALS, INC.",,QTR1/20250113_10-K-A_edgar_data_1445815_0001493152-25-001889.txt,20250113,10-K/A,former_name
0001445815,"BIOXYTRAN, INC","U.S. RARE EARTH MINERALS, INC",,QTR1/20250113_10-K-A_edgar_data_1445815_0001493152-25-001889.txt,20250113,10-K/A,former_name
0001445815,"BIOXYTRAN, INC","U.S. Natural Nutrients & Minerals, Inc.",,QTR1/20250113_10-K-A_edgar_data_1445815_0001493152-25-001889.txt,20250113,10-K/A,former_name
0001583771,"Hepion Pharmaceuticals, Inc.",,"ContraVir Pharmaceuticals, Inc.",QTR1/20250113_10-K-A_edgar_data_1583771_0001493152-25-001857.txt,20250113,10-K/A,current_name
0001583771,"Hepion Pharmaceuticals, Inc.","ContraVir Pharmaceuticals, Inc.",,QTR1/20250113_10-K-A_edgar_data_1583771_0001493152-25-001857.txt,20250113,10-K/A,former_name
0001606909,Pangaea Logistics Solutions Ltd.,,Quartet Holdco Ltd.,QTR1/20250113_10-K-A_edgar_data_1606909_0001606909-25-000025.txt,20250113,10-K/A,current_name
0001606909,Pangaea Logistics Solutions Ltd.,Quartet Holdco Ltd.,,QTR1/20250113_10-K-A_edgar_data_1606909_0001606909-25-000025.txt,20250113,10-K/A,former_name
0001677897,UPAY,,,QTR1/20250113_10-K-A_edgar_data_1677897_0001575872-25-000047.txt,20250113,10-K/A,current_name
0001141964,PUBLIC CO MANAGEMENT CORP,,"MYOFFIZ, INC.|MYOFFIZ INC",QTR1/20250113_10-K_edgar_data_1141964_0001214659-25-000464.txt,20250113,10-K,current_name
0001141964,PUBLIC CO MANAGEMENT CORP,"MYOFFIZ, INC.",,QTR1/20250113_10-K_edgar_data_1141964_0001214659-25-000464.txt,20250113,10-K,former_name
0001141964,PUBLIC CO MANAGEMENT CORP,MYOFFIZ INC,,QTR1/20250113_10-K_edgar_data_1141964_0001214659-25-000464.txt,20250113,10-K,former_name
0001374881,Kingfish Holding Corp,,Kesselring Holding Corporation.|OFFLINE CONSULTING INC,QTR1/20250113_10-K_edgar_data_1374881_0001477932-25-000201.txt,20250113,10-K,current_name
0001374881,Kingfish Holding Corp,Kesselring Holding Corporation.,,QTR1/20250113_10-K_edgar_data_1374881_0001477932-25-000201.txt,20250113,10-K,former_name
0001374881,Kingfish Holding Corp,OFFLINE CONSULTING INC,,QTR1/20250113_10-K_edgar_data_1374881_0001477932-25-000201.txt,20250113,10-K,former_name
0001502966,"Hypha Labs, Inc.",,"Digipath, Inc.|DigiPath,Inc.",QTR1/20250113_10-K_edgar_data_1502966_0001493152-25-001966.txt,20250113,10-K,current_name
0001502966,"Hypha Labs, Inc.","Digipath, Inc.",,QTR1/20250113_10-K_edgar_data_1502966_0001493152-25-001966.txt,20250113,10-K,former_name
0001502966,"Hypha Labs, Inc.","DigiPath,Inc.",,QTR1/20250113_10-K_edgar_data_1502966_0001493152-25-001966.txt,20250113,10-K,former_name
0001620749,Panamera Holdings Corp,,PANAMERA HEALTHCARE Corp,QTR1/20250113_10-K_edgar_data_1620749_0001640334-25-000065.txt,20250113,10-K,current_name
0001620749,Panamera Holdings Corp,PANAMERA HEALTHCARE Corp,,QTR1/20250113_10-K_edgar_data_1620749_0001640334-25-000065.txt,20250113,10-K,former_name
0000725363,CEL SCI CORP,,INTERLEUKIN 2 INC,QTR1/20250113_10-K_edgar_data_725363_0001654954-25-000288.txt,20250113,10-K,current_name
0000725363,CEL SCI CORP,INTERLEUKIN 2 INC,,QTR1/20250113_10-K_edgar_data_725363_0001654954-25-000288.txt,20250113,10-K,former_name
0000725394,DALRADA FINANCIAL CORP,,IMAGING TECHNOLOGIES CORP/CA|PERSONAL COMPUTER PRODUCTS INC,QTR1/20250113_10-K_edgar_data_725394_0001683168-25-000285.txt,20250113,10-K,current_name
0000725394,DALRADA FINANCIAL CORP,IMAGING TECHNOLOGIES CORP/CA,,QTR1/20250113_10-K_edgar_data_725394_0001683168-25-000285.txt,20250113,10-K,former_name
