model_id,dependent,term,coef,se,t_stat,p_value,nobs,covariance,sample_flag
car_m1_p1_yearfe_core_hc3,car_m1_p1,const,-0.014732306421499568,0.009259080082579436,-1.5911198834123679,0.11158259855669517,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,share_actionable,0.0009678103002152411,0.0037621493671946816,0.2572493023946328,0.7969863264751051,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,share_speculative,-0.009387243575412171,0.005396908238013707,-1.7393743160745454,0.08196894295691118,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,ln_assets,0.002153960136802129,0.0006912505385842423,3.116033936427273,0.0018330117637834328,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,leverage,-0.00026537958862403764,0.005370244328119005,-0.04941666941194651,0.9605872441214048,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,cash,0.019312363261029124,0.007049375825336412,2.7395848568064527,0.0061516832390437984,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,roa,0.0019309182693876032,0.0016870036031414377,1.1445845555942868,0.25238129301640067,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2017,-0.0029146954311042917,0.008832589299424428,-0.3299933159231378,0.741405012621784,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2018,-0.004351172918386648,0.008943336818314024,-0.48652678600635785,0.626593718602996,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2019,7.487200554405246e-05,0.009407676259481799,0.007958607787825452,0.993650016754741,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2020,-0.006311384017444656,0.008169276137771487,-0.7725756739037531,0.439773545711488,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2021,-0.005523185893094817,0.007466746031743492,-0.7397045338912039,0.4594792964302487,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2022,-0.005164325168245605,0.0075020126826264005,-0.6883919538293305,0.4912059893763327,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2023,-0.012246682096752563,0.0075151508934669835,-1.6295989621976532,0.10318628389098751,7200,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2024,9.793134217914793e-05,0.007570549103093132,0.012935830789227123,0.9896789881785744,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,const,-0.021283807532325477,0.007339386944635125,-2.899943509298595,0.0037322991813213704,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_actionable,0.004475303982578029,0.004547344399083275,0.984157695089079,0.32503798278903023,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_speculative,0.003088966926081966,0.006386524209881958,0.48366949291484157,0.6286204472513783,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,post_chatgpt,0.00888288272405381,0.00464979432945815,1.910381856629119,0.056084065170142215,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_actionable_x_post_chatgpt,-0.010636475227045045,0.006993795562297708,-1.5208444588206678,0.1282988745942981,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_speculative_x_post_chatgpt,-0.033631579079331474,0.011138022570366965,-3.0195287239594286,0.0025316828527393665,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,ln_assets,0.0019702411070049303,0.0006974377100847584,2.8249707156865522,0.004728493741321462,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,leverage,-0.0004723265884182827,0.005420275078849025,-0.08714070440103558,0.9305596709914922,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,cash,0.018029386792242558,0.006984131107538231,2.5814788575178342,0.009837801709128671,7200,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,roa,0.001840872542026962,0.00168152476110821,1.0947638623018157,0.27362010222019745,7200,hc3,sample_car_core
car_m1_p1_post_extended_hc3,car_m1_p1,const,-0.025675891540383064,0.010845199700171011,-2.3674890504762396,0.017909249963770905,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_actionable,0.007304166578345806,0.007385812502126946,0.9889455731840433,0.32268977149873546,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_speculative,0.004123706431626387,0.009496081447434945,0.4342534817601287,0.664104380001928,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,post_chatgpt,0.011236288273299365,0.007797038214874397,1.44109698627152,0.1495572848532664,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_actionable_x_post_chatgpt,-0.009547075803358446,0.010222169205168136,-0.9339579116467398,0.35032560404464447,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_speculative_x_post_chatgpt,-0.045768159014594606,0.014829363464932778,-3.0863198628062,0.0020265069473823943,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,ln_assets,0.0029016988679242623,0.0008874254824124284,3.269794394495093,0.0010762568082126355,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,leverage,-8.953236880445264e-05,0.00677851474843241,-0.013208257579605883,0.989461641619957,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,cash,0.01015609608807596,0.009107793702935432,1.1150994872449362,0.26480779121901776,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,roa,0.001495804184484442,0.00182419906883978,0.8199785922683304,0.41222831124249937,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,rd_intensity,1.621615148334771e-05,1.987268649520528e-05,0.8160019777527419,0.414499004555824,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,capx_at,-0.08298100029049248,0.05190780577135157,-1.5986227708413465,0.1099044469897623,4390,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,sales_growth,7.483660865386174e-05,4.380951286929248e-05,1.7082273632473364,0.08759416309870885,4390,hc3,sample_car_extended
car_m1_p1_post_core_cluster_gvkey,car_m1_p1,const,-0.021283807532325477,0.007478613048922823,-2.845956515344924,0.004427824093295234,7200,cluster,sample_car_core
car_m1_p1_post_core_cluster_gvkey,car_m1_p1,share_actionable,0.004475303982578029,0.0044640251667889715,1.0025266021959216,0.31608932500646225,7200,cluster,sample_car_core
