threshold,accuracy,macro_f1,binary_relevance_accuracy,actionable_speculative_conditional_accuracy,deferred_rows,deferred_rate
0.35,0.6949152542372882,0.6415330393284969,0.7909604519774012,0.7777777777777778,1,0.005649717514124294
0.36,0.6949152542372882,0.6415330393284969,0.7909604519774012,0.7777777777777778,2,0.011299435028248588
0.37,0.6949152542372882,0.6415330393284969,0.7909604519774012,0.7777777777777778,2,0.011299435028248588
0.38,0.7005649717514124,0.6459259259259259,0.7966101694915254,0.7777777777777778,3,0.01694915254237288
0.39,0.7005649717514124,0.6459259259259259,0.7966101694915254,0.7777777777777778,3,0.01694915254237288
0.4,0.7005649717514124,0.6459259259259259,0.7966101694915254,0.7777777777777778,4,0.022598870056497175
0.41,0.711864406779661,0.6570625281151597,0.807909604519774,0.7777777777777778,7,0.03954802259887006
0.42,0.7288135593220338,0.6770649672980417,0.8248587570621468,0.7777777777777778,11,0.062146892655367235
0.43,0.7288135593220338,0.6770649672980417,0.8248587570621468,0.7777777777777778,11,0.062146892655367235
0.44,0.7401129943502824,0.6888921930374753,0.8305084745762712,0.7888888888888889,16,0.0903954802259887
0.45,0.7627118644067796,0.716927696927697,0.8418079096045198,0.8111111111111111,20,0.11299435028248588
0.46,0.7796610169491526,0.7387549852609676,0.8531073446327684,0.8222222222222222,26,0.14689265536723164
0.47,0.7853107344632768,0.7497003049728548,0.8531073446327684,0.8333333333333334,27,0.15254237288135594
0.48,0.7909604519774012,0.7602724605360232,0.8587570621468926,0.8333333333333334,30,0.1694915254237288
0.49,0.807909604519774,0.7754564879564879,0.8757062146892656,0.8333333333333334,34,0.192090395480226
0.5,0.8192090395480226,0.7839068382803607,0.8870056497175142,0.8333333333333334,40,0.22598870056497175
0.51,0.8248587570621468,0.7906487403733194,0.8926553672316384,0.8333333333333334,42,0.23728813559322035
0.52,0.8361581920903954,0.805647913776748,0.8926553672316384,0.8555555555555555,45,0.2542372881355932
0.53,0.847457627118644,0.8140608209757145,0.903954802259887,0.8555555555555555,49,0.2768361581920904
0.54,0.864406779661017,0.8333153273458999,0.9152542372881356,0.8666666666666667,52,0.2937853107344633
0.55,0.8813559322033898,0.8592995169082126,0.9209039548022598,0.8888888888888888,58,0.327683615819209
0.56,0.8926553672316384,0.8739187982885461,0.9265536723163842,0.9,62,0.3502824858757062
0.57,0.903954802259887,0.8885434173669468,0.9322033898305084,0.9222222222222223,67,0.3785310734463277
0.58,0.9152542372881356,0.902701367278932,0.9378531073446328,0.9333333333333333,72,0.4067796610169492
0.59,0.9209039548022598,0.9122732867672139,0.9378531073446328,0.9444444444444444,75,0.423728813559322
0.6,0.9265536723163842,0.9166780931486814,0.943502824858757,0.9444444444444444,77,0.4350282485875706
0.61,0.9322033898305084,0.92109383853056,0.9491525423728814,0.9444444444444444,80,0.4519774011299435
0.62,0.943502824858757,0.9376274371623209,0.9548022598870056,0.9555555555555556,86,0.4858757062146893
0.63,0.943502824858757,0.9376274371623209,0.9548022598870056,0.9555555555555556,87,0.4915254237288136
0.64,0.943502824858757,0.9376274371623209,0.9548022598870056,0.9555555555555556,91,0.5141242937853108
0.65,0.943502824858757,0.9376274371623209,0.9548022598870056,0.9555555555555556,94,0.5310734463276836
