threshold,accuracy,macro_f1,binary_relevance_accuracy,actionable_speculative_conditional_accuracy,deferred_rows,deferred_rate
0.35,0.8083333333333333,0.8042818954459908,0.875,0.8714285714285714,0,0.0
0.36,0.8083333333333333,0.8042818954459908,0.875,0.8714285714285714,0,0.0
0.37,0.8166666666666667,0.8137690266722526,0.875,0.8857142857142857,1,0.008333333333333333
0.38,0.8166666666666667,0.8137690266722526,0.875,0.8857142857142857,1,0.008333333333333333
0.39,0.8166666666666667,0.8137690266722526,0.875,0.8857142857142857,1,0.008333333333333333
0.4,0.8166666666666667,0.8137690266722526,0.875,0.8857142857142857,2,0.016666666666666666
0.41,0.8166666666666667,0.8137690266722526,0.875,0.8857142857142857,2,0.016666666666666666
0.42,0.825,0.8216137855360798,0.8833333333333333,0.8857142857142857,3,0.025
0.43,0.825,0.8216137855360798,0.8833333333333333,0.8857142857142857,3,0.025
0.44,0.825,0.8216137855360798,0.8833333333333333,0.8857142857142857,4,0.03333333333333333
0.45,0.825,0.8216137855360798,0.8833333333333333,0.8857142857142857,4,0.03333333333333333
0.46,0.825,0.8216137855360798,0.8833333333333333,0.8857142857142857,4,0.03333333333333333
0.47,0.8166666666666667,0.8126599922265557,0.875,0.8857142857142857,5,0.041666666666666664
0.48,0.8166666666666667,0.8126599922265557,0.875,0.8857142857142857,6,0.05
0.49,0.825,0.8214595040989385,0.875,0.9,9,0.075
0.5,0.8166666666666667,0.8117080195694454,0.875,0.8857142857142857,12,0.1
0.51,0.8166666666666667,0.8117080195694454,0.875,0.8857142857142857,13,0.10833333333333334
0.52,0.8333333333333334,0.8284722222222222,0.8833333333333333,0.9,16,0.13333333333333333
0.53,0.8333333333333334,0.8284722222222222,0.8833333333333333,0.9,17,0.14166666666666666
0.54,0.8416666666666667,0.8362018085336799,0.8916666666666667,0.9142857142857143,18,0.15
0.55,0.8416666666666667,0.8362018085336799,0.8916666666666667,0.9142857142857143,18,0.15
0.56,0.8416666666666667,0.8368055555555555,0.8833333333333333,0.9285714285714286,21,0.175
0.57,0.825,0.8202484800422946,0.875,0.9,26,0.21666666666666667
0.58,0.8333333333333334,0.8293997668997668,0.8833333333333333,0.9,30,0.25
0.59,0.8333333333333334,0.8293997668997668,0.8833333333333333,0.9,31,0.25833333333333336
0.6,0.825,0.8196134912907064,0.8833333333333333,0.8857142857142857,32,0.26666666666666666
0.61,0.825,0.8202484800422946,0.875,0.9,34,0.2833333333333333
0.62,0.8333333333333334,0.8281822344322345,0.8833333333333333,0.9,40,0.3333333333333333
0.63,0.8333333333333334,0.8281822344322345,0.8833333333333333,0.9,46,0.38333333333333336
0.64,0.8333333333333334,0.8281822344322345,0.8833333333333333,0.9,48,0.4
0.65,0.8333333333333334,0.8281822344322345,0.8833333333333333,0.9,51,0.425
