term,coef,se,t,p,model,N
Intercept,3.062180121986338,1.786294441523152,1.7142639258146342,0.08648026519842576,OLS_k0_levels,63.0
C(cik)[T.59255],0.8903492098510067,0.5186173403309455,1.7167748561643692,0.0860203167621881,OLS_k0_levels,63.0
C(cik)[T.61004],-0.8985275861031461,0.9317934863660041,-0.9642990633121991,0.33489601037472394,OLS_k0_levels,63.0
C(cik)[T.109177],1.7790535816097877,0.761045545391435,2.3376440377096643,0.01940572146490335,OLS_k0_levels,63.0
C(cik)[T.315545],-3.373785708437218,1.8730748829962323,-1.801201724001765,0.07167109075043535,OLS_k0_levels,63.0
C(cik)[T.790051],1.507551825448429,0.8000287116949758,1.8843721524124601,0.05951465391196434,OLS_k0_levels,63.0
C(cik)[T.824142],-0.17131184886305909,0.24093063598513553,-0.7110421975295343,0.4770580872259783,OLS_k0_levels,63.0
C(cik)[T.885639],2.83746644273218,1.0969230560327556,2.58675066325477,0.009688567207970811,OLS_k0_levels,63.0
C(cik)[T.895417],1.793818116099605,0.9167509396098696,1.9567126016396317,0.050381267471479474,OLS_k0_levels,63.0
C(cik)[T.1076930],2.708704856047733,0.3610775526604084,7.5017259757359,6.298293371057957e-14,OLS_k0_levels,63.0
C(cik)[T.1086222],4.70594703274505,0.7263262420699732,6.479109193870605,9.226571580261174e-11,OLS_k0_levels,63.0
C(cik)[T.1117480],-1.0079628402832517,0.7103437040446334,-1.4189790583685074,0.1559051215153983,OLS_k0_levels,63.0
C(cik)[T.1393311],2.2700391401365523,1.2322707273794558,1.8421594294981043,0.06545183290063684,OLS_k0_levels,63.0
C(cik)[T.1418819],1.1946324287532093,0.6296773077397279,1.8972137221228895,0.05779973650990826,OLS_k0_levels,63.0
C(cik)[T.1436126],0.2037710571645378,0.13422421718169814,1.5181392854666065,0.1289792893502412,OLS_k0_levels,63.0
C(cik)[T.1438533],0.225126679008552,0.42417691526012125,0.5307376967237735,0.595600559525898,OLS_k0_levels,63.0
C(cik)[T.1439095],0.863231657311783,0.4605780645365001,1.874235279051969,0.06089800359235308,OLS_k0_levels,63.0
C(year)[T.2022],0.06894136386479077,0.0919327139628928,0.7499111131715079,0.45330824084070986,OLS_k0_levels,63.0
C(year)[T.2023],0.10817116017715203,0.08790940724783239,1.2304844676315259,0.21851573990193862,OLS_k0_levels,63.0
C(year)[T.2024],-0.05153097084056618,0.12644190663113658,-0.40754661340954956,0.6836065656219277,OLS_k0_levels,63.0
n_A,0.13446008157424716,0.042779463067726904,3.143098859407721,0.0016716937066880491,OLS_k0_levels,63.0
n_S,-0.1674004213096616,0.0553188962563785,-3.0260983612875254,0.00247731699546974,OLS_k0_levels,63.0
log_docs,0.12432103312603815,0.07342159737074676,1.6932488202111926,0.09040811544214608,OLS_k0_levels,63.0
ln_assets,-0.5193636394412524,0.30504355330342403,-1.7025884789790857,0.08864510762453805,OLS_k0_levels,63.0
leverage,-0.6951444546574077,0.5351777534575641,-1.298903869165645,0.1939769216884597,OLS_k0_levels,63.0
cash,0.716934619036101,0.6315265499763888,1.1352406625864033,0.25627449649081147,OLS_k0_levels,63.0
rd_intensity,-0.3343434708257962,0.3072772362879723,-1.0880840861002086,0.27655798841481105,OLS_k0_levels,63.0
capx_at,8.565802637201053,4.916227713879097,1.7423527012426152,0.08144674692224337,OLS_k0_levels,63.0
roa,-0.1270840144254284,0.11001556715801213,-1.1551457462642662,0.24803074752833387,OLS_k0_levels,63.0
sales_growth,0.024824400936080772,0.012828554555843254,1.935089477775464,0.05297931651279514,OLS_k0_levels,63.0
emp,-0.0019363805371558056,0.010426912620841389,-0.18570986518917923,0.8526722916011309,OLS_k0_levels,63.0
Intercept,0.12436709244062283,,,,OLS_k0_shares,10.0
C(cik)[T.1076930],1.1083408978220828,,,,OLS_k0_shares,10.0
C(cik)[T.1086222],1.0624139192271738,,,,OLS_k0_shares,10.0
C(cik)[T.1117480],-0.10230475446347641,,,,OLS_k0_shares,10.0
C(cik)[T.1393311],-1.295163516774104,,,,OLS_k0_shares,10.0
C(cik)[T.1436126],-0.1951913919756112,,,,OLS_k0_shares,10.0
C(cik)[T.1438533],-0.3788287658832579,,,,OLS_k0_shares,10.0
C(year)[T.2023],0.014297183671703073,,,,OLS_k0_shares,10.0
C(year)[T.2024],-0.6901736164285451,,,,OLS_k0_shares,10.0
ActShare,-0.19519139197561164,,,,OLS_k0_shares,10.0
SpecShare,0.9361376639327551,,,,OLS_k0_shares,10.0
log_docs,-0.4636252506722234,,,,OLS_k0_shares,10.0
ln_assets,0.2511416878892322,,,,OLS_k0_shares,10.0
leverage,-0.18381747569538054,,,,OLS_k0_shares,10.0
cash,-0.10559354149440195,,,,OLS_k0_shares,10.0
rd_intensity,-0.10735506882662926,,,,OLS_k0_shares,10.0
capx_at,0.07312565180924682,,,,OLS_k0_shares,10.0
roa,0.18834776263502556,,,,OLS_k0_shares,10.0
sales_growth,-0.008767417886294648,,,,OLS_k0_shares,10.0
emp,-0.008356413034270253,,,,OLS_k0_shares,10.0
Intercept,3.164128364098724,1.81142277221176,1.746764152818561,0.08067825709823895,OLS_k0_logcounts,63.0
C(cik)[T.59255],0.9227540256775563,0.5247001046512834,1.7586312971879818,0.07864015353059742,OLS_k0_logcounts,63.0
C(cik)[T.61004],-0.9190281725180487,0.9477023766119759,-0.969743450262901,0.33217438661592036,OLS_k0_logcounts,63.0
C(cik)[T.109177],1.8182409937946273,0.7676302158821916,2.368641770706005,0.01785353649909388,OLS_k0_logcounts,63.0
C(cik)[T.315545],-3.4479779909117934,1.9027495268532442,-1.8121029290776063,0.06997029388862361,OLS_k0_logcounts,63.0
C(cik)[T.790051],1.5513485253582728,0.8088422667149137,1.917986471774063,0.05511272653402039,OLS_k0_logcounts,63.0
C(cik)[T.824142],-0.1657717462471953,0.24010494347453984,-0.690413715970714,0.4899340536907858,OLS_k0_logcounts,63.0
C(cik)[T.885639],2.9048546752876465,1.1097686758382637,2.6175316879379973,0.00885682644719556,OLS_k0_logcounts,63.0
C(cik)[T.895417],1.8299627574133197,0.922735528159781,1.9831931269221088,0.04734586133369066,OLS_k0_logcounts,63.0
C(cik)[T.1076930],2.7239203329456467,0.36266485214955607,7.510847320330766,5.874587546405561e-14,OLS_k0_logcounts,63.0
C(cik)[T.1086222],4.744556017719381,0.7354089563657457,6.451588570754012,1.1068373060349158e-10,OLS_k0_logcounts,63.0
C(cik)[T.1117480],-1.0047231004133446,0.7249081422745851,-1.3860005727908757,0.16574672858720585,OLS_k0_logcounts,63.0
C(cik)[T.1393311],2.3295851873302187,1.2448714258445468,1.8713460193286864,0.06129713579972671,OLS_k0_logcounts,63.0
C(cik)[T.1418819],1.2191023036004398,0.6325128729964661,1.927395244661291,0.0539303918067472,OLS_k0_logcounts,63.0
C(cik)[T.1436126],0.20268366990393796,0.13316011693134058,1.5221049258198294,0.12798279196003087,OLS_k0_logcounts,63.0
C(cik)[T.1438533],0.24741454466187315,0.4258298730947682,0.5810173505765557,0.5612287598646646,OLS_k0_logcounts,63.0
C(cik)[T.1439095],0.8846059204150025,0.4648326808892572,1.9030630951392873,0.05703231274853307,OLS_k0_logcounts,63.0
C(year)[T.2022],0.06834012495931263,0.09193573102220094,0.7433467292799318,0.45727178706487903,OLS_k0_logcounts,63.0
C(year)[T.2023],0.10883455611035237,0.08849110184236733,1.2298926541136714,0.2187373054090288,OLS_k0_logcounts,63.0
C(year)[T.2024],-0.052984194036993615,0.12645752856283918,-0.4189880558251204,0.6752248615571979,OLS_k0_logcounts,63.0
log_n_A,0.24426611723759983,0.07997594940846071,3.0542446703578454,0.002256279845294138,OLS_k0_logcounts,63.0
log_n_S,-0.2738830393021714,0.12415978747616943,-2.20589165678734,0.0273915865410167,OLS_k0_logcounts,63.0
log_docs,0.1240908866142229,0.07429910929978945,1.6701530850595885,0.09488907945411564,OLS_k0_logcounts,63.0
ln_assets,-0.5361985868903412,0.3093392839324139,-1.733367259644568,0.08303041298924513,OLS_k0_logcounts,63.0
leverage,-0.6814777288454916,0.533445586728466,-1.2775018592334457,0.20142512444771365,OLS_k0_logcounts,63.0
cash,0.6983790422813114,0.6463623236490744,1.0804760994399762,0.2799302242706154,OLS_k0_logcounts,63.0
rd_intensity,-0.33805062985446377,0.31265374308214217,-1.0812300742730887,0.2795947833178267,OLS_k0_logcounts,63.0
capx_at,8.627918506922782,4.904820235329736,1.7590692610455587,0.07856574520029982,OLS_k0_logcounts,63.0
roa,-0.12476636987567241,0.11210840205959277,-1.1129082886165047,0.26574781987173357,OLS_k0_logcounts,63.0
sales_growth,0.02514923805585153,0.013155947221019754,1.9116250341647496,0.05592430597620675,OLS_k0_logcounts,63.0
emp,-0.002110849796760827,0.010507341823924394,-0.20089284541543967,0.840782362203462,OLS_k0_logcounts,63.0
Intercept,3.369617654612488,1.8572845069211983,1.8142711265051519,0.0696359945151234,OLS_k0_dummies,63.0
C(cik)[T.59255],0.9896647789570947,0.5390225353773448,1.8360359985028754,0.06635233275873303,OLS_k0_dummies,63.0
C(cik)[T.61004],-0.9563477515490708,0.9728774797759934,-0.9830094451043018,0.32560279010304205,OLS_k0_dummies,63.0
C(cik)[T.109177],1.9001036944325782,0.7820125301585075,2.429761188158255,0.015108774347381749,OLS_k0_dummies,63.0
C(cik)[T.315545],-3.5887527546027824,1.945454279716812,-1.8446862473299426,0.06508319258258097,OLS_k0_dummies,63.0
C(cik)[T.790051],1.64460903787106,0.8279184439819874,1.986438458794428,0.04698465983622417,OLS_k0_dummies,63.0
C(cik)[T.824142],-0.15365394366906943,0.2376757720505161,-0.6464855140405792,0.5179649755515876,OLS_k0_dummies,63.0
C(cik)[T.885639],3.0946486755203972,1.1509300043887027,2.6888243974176937,0.007170412797474296,OLS_k0_dummies,63.0
C(cik)[T.895417],1.9045692308235433,0.9335798007348659,2.04007116405514,0.04134323829423765,OLS_k0_dummies,63.0
C(cik)[T.1076930],2.7624812364469857,0.367460557293983,7.517762605026724,5.57215596890561e-14,OLS_k0_dummies,63.0
C(cik)[T.1086222],4.822667669133465,0.7594554297112232,6.350165500781587,2.1508340568466129e-10,OLS_k0_dummies,63.0
C(cik)[T.1117480],-0.9872708369580117,0.7502712302866531,-1.3158852387033542,0.18821256393506314,OLS_k0_dummies,63.0
C(cik)[T.1393311],2.4553583293473613,1.2695803580607408,1.9339920578937384,0.053114104345873846,OLS_k0_dummies,63.0
C(cik)[T.1418819],1.268506108778695,0.6371829450686397,1.990803612362925,0.046502482081883026,OLS_k0_dummies,63.0
C(cik)[T.1436126],0.20316991984371105,0.1297589442873073,1.5657488657880876,0.11740742144380081,OLS_k0_dummies,63.0
C(cik)[T.1438533],0.2935469230681482,0.4402672621601752,0.66674710635503,0.5049336838758531,OLS_k0_dummies,63.0
C(cik)[T.1439095],0.9284761366965826,0.4731824700190909,1.9621947039989087,0.049739820291224396,OLS_k0_dummies,63.0
C(year)[T.2022],0.06686997395634875,0.091918275842872,0.7274937801341965,0.4669235241961902,OLS_k0_dummies,63.0
C(year)[T.2023],0.11047356956492971,0.08970304724201777,1.2315475667941727,0.21811813765979926,OLS_k0_dummies,63.0
C(year)[T.2024],-0.05706199445803728,0.12666740666410123,-0.4504867981497027,0.6523594713161344,OLS_k0_dummies,63.0
has_actionable,0.2796008855867118,0.09217601915285512,3.0333365245796826,0.0024186571532191724,OLS_k0_dummies,63.0
has_spec_only,-0.20067608818289506,0.17427374588154496,-1.1514992529012142,0.24952690243226994,OLS_k0_dummies,63.0
log_docs,0.11206473110672965,0.07765745202923671,1.4430647436712085,0.14900223384934988,OLS_k0_dummies,63.0
ln_assets,-0.5699168024403856,0.316944767692093,-1.7981581036669803,0.0721519567291872,OLS_k0_dummies,63.0
leverage,-0.6554873020879486,0.5302835670297649,-1.2361071374688781,0.21641874215707768,OLS_k0_dummies,63.0
cash,0.6550931010553742,0.6806577278286491,0.9624412891706555,0.3358279816006833,OLS_k0_dummies,63.0
rd_intensity,-0.35223041035454067,0.32424487026933274,-1.086309893081614,0.27734191155906507,OLS_k0_dummies,63.0
capx_at,8.760526006654654,4.882156985298111,1.7943966228524963,0.07274988558079137,OLS_k0_dummies,63.0
roa,-0.12142721513491624,0.11698844347634066,-1.037941966972774,0.29929707378182957,OLS_k0_dummies,63.0
sales_growth,0.025466390150868393,0.013612141975068966,1.8708583996193124,0.061364710438796474,OLS_k0_dummies,63.0
emp,-0.0030227547054956713,0.010549541708561304,-0.28652948052166144,0.7744726173409162,OLS_k0_dummies,63.0
Intercept,-3.578230183812909,5.330622914738706,-0.671259295779376,0.5020553603002806,OLS_k1_levels,47.0
C(cik)[T.59255],-1.499435015885567,1.6939083524230332,-0.8851925275300261,0.3760528018639391,OLS_k1_levels,47.0
C(cik)[T.61004],0.15525104508456433,1.8527011538221643,0.08379713304775459,0.9332177275006428,OLS_k1_levels,47.0
C(cik)[T.109177],-1.3030703899081058,2.2016504016806886,-0.5918607190829989,0.5539438595356241,OLS_k1_levels,47.0
C(cik)[T.315545],1.382196611343736,4.01507958129118,0.3442513612393321,0.7306572593476889,OLS_k1_levels,47.0
C(cik)[T.790051],-1.5086981016330685,2.3645321514651996,-0.6380535365942023,0.5234388307212925,OLS_k1_levels,47.0
C(cik)[T.824142],0.8342837178709708,0.15667964118244798,5.324774243639456,1.0107849670915798e-07,OLS_k1_levels,47.0
C(cik)[T.885639],2.0829927142767657,6.612605734284675,0.31500331306265233,0.7527591383724707,OLS_k1_levels,47.0
C(cik)[T.895417],-1.7704753233305492,2.1178164267479045,-0.8359909296053916,0.40316000580925115,OLS_k1_levels,47.0
C(cik)[T.1076930],1.3963611966741916,0.8711293658851578,1.6029320688269346,0.10894965264464464,OLS_k1_levels,47.0
C(cik)[T.1086222],2.1278982355894303,2.456995501363763,0.8660570336446826,0.3864588859049707,OLS_k1_levels,47.0
C(cik)[T.1117480],-1.3296772457274262,1.412687435708518,-0.9412395212961889,0.34658212783658804,OLS_k1_levels,47.0
